entidad,anio,mes,nro_puntos_ventas,nro_consumos,monto_facturado,nro_feriados,nro_dias_feriados,especie_monetaria_circulacion,liquidez_total_m2,oferta_monetaria_m1
banco del austro,2024,12,5854,965000,38376136.50999999,1,1,20302.2,88484.87,31461.76
banco del austro,2025,1,5690,791391,31362576.049999997,1,1,19925.58,88682.12,31282.8
banco del austro,2025,2,5756,772911,29948699.830000002,0,0,19866.58,89845.34,31354.5
banco del austro,2025,3,5763,890763,34916680.24,1,2,122366.2,90599.4,31766.8
banco del austro,2025,4,5716,823661,33320558.200000025,1,1,123384.0,91724.2,31659.8
banco del austro,2025,5,5704,846304,33649480.27,2,2,125208.9,93182.1,32026.8
banco solidario,2019,1,338,982,138153.97000000006,1,1,15501.35,52873.4,24643.71
banco solidario,2019,2,411,1202,140637.31000000003,0,0,15514.71,53416.42,24901.06
banco solidario,2019,3,406,1317,180523.02999999994,1,2,15616.17,53747.06,24995.89
banco solidario,2019,4,100,165,22411.579999999998,1,1,15794.43,54011.82,24883.39
banco solidario,2019,5,417,1340,197447.13,2,2,15811.22,54009.15,24695.29
banco solidario,2019,6,373,1280,194357.33000000002,0,0,15845.23,54271.29,24720.54
banco solidario,2019,7,289,1031,204043.52000000005,0,0,15891.79,54680.12,24921.39
banco solidario,2019,8,274,1004,200254.65999999997,1,1,16135.62,55371.99,25033.94
banco solidario,2019,9,263,1047,206058.37,0,0,16047.57,55160.34,24989.0
banco solidario,2019,10,227,720,157556.95,1,1,16394.3,55772.32,25209.84
banco solidario,2019,11,264,880,178941.7,2,2,16390.25,56147.25,25363.35
banco solidario,2019,12,266,941,214912.07,1,1,16966.2,57967.69,26196.71
banco solidario,2020,1,211,685,134497.47,1,1,16682.28,57594.5,25715.65
banco solidario,2020,2,197,608,105522.26000000001,1,2,16683.73,58187.41,26136.51
banco solidario,2020,3,139,324,60539.20999999999,0,0,17135.95,57896.9,26319.28
banco solidario,2020,4,25,48,19199.32,1,1,17848.07,58463.93,26715.36
banco solidario,2020,5,3,5,4935.6,2,2,18152.7,58949.96,27138.48
banco solidario,2020,6,101,199,54422.66,0,0,18209.89,59394.0,27401.06
banco solidario,2020,7,111,234,52117.68999999999,0,0,18019.86,59501.88,27144.52
banco solidario,2020,8,96,178,49821.64999999999,1,1,17943.98,60086.98,27274.79
banco solidario,2020,9,96,183,39021.649999999994,0,0,17850.41,60492.98,27283.21
banco solidario,2020,10,35,54,12358.070000000002,1,1,17528.51,61464.41,27320.85
banco solidario,2020,11,16,23,4550.7300000000005,2,2,17432.26,61319.57,27491.46
banco solidario,2020,12,14,16,2447.55,1,1,17959.92,63821.32,28409.5
datafast,2019,1,66219,8436874,583105760.1300005,1,1,15501.35,52873.4,24643.71
datafast,2019,2,66828,7941863,552187693.8200017,0,0,15514.71,53416.42,24901.06
datafast,2019,3,67594,8890154,617330734.3700007,1,2,15616.17,53747.06,24995.89
datafast,2019,4,68289,9046261,646562123.3100001,1,1,15794.43,54011.82,24883.39
datafast,2019,5,68961,9398658,666359890.4199978,2,2,15811.22,54009.15,24695.29
datafast,2019,6,68988,9344085,653993247.77,0,0,15845.23,54271.29,24720.54
datafast,2019,7,69901,9502118,670862610.6099994,0,0,15891.79,54680.12,24921.39
datafast,2019,8,70971,9740681,706040554.8100019,1,1,16135.62,55371.99,25033.94
datafast,2019,9,71761,9347881,679342317.0900009,0,0,16047.57,55160.34,24989.0
datafast,2019,10,71740,8886954,596900645.5400021,1,1,16394.3,55772.32,25209.84
datafast,2019,11,74602,9949825,694770189.5800005,2,2,16390.25,56147.25,25363.35
datafast,2019,12,76118,12189146,839989954.9799995,1,1,16966.2,57967.69,26196.71
datafast,2020,1,74824,9613980,652121794.9400021,1,1,16682.28,57594.5,25715.65
datafast,2020,2,75095,9617702,624189400.1000029,1,2,16683.73,58187.41,26136.51
datafast,2020,3,70501,6741740,482605094.69,0,0,17135.95,57896.9,26319.28
datafast,2020,4,30556,2898459,237419248.23999998,1,1,17848.07,58463.93,26715.36
datafast,2020,5,49083,4028854,319758389.65,2,2,18152.7,58949.96,27138.48
datafast,2020,6,63428,6119025,454884420.3499994,0,0,18209.89,59394.0,27401.06
datafast,2020,7,66142,6944060,494148296.4599999,0,0,18019.86,59501.88,27144.52
datafast,2020,8,67956,7447859,524551291.66000015,1,1,17943.98,60086.98,27274.79
datafast,2020,9,70178,7671485,540951779.0399984,0,0,17850.41,60492.98,27283.21
datafast,2020,10,72679,8516142,563704189.4900002,1,1,17528.51,61464.41,27320.85
datafast,2020,11,73115,8554734,582496578.8099986,2,2,17432.26,61319.57,27491.46
datafast,2020,12,74800,10492406,714218238.4100006,1,1,17959.92,63821.32,28409.5
datafast,2021,1,72827,8536116,545604683.6800008,1,1,17679.28,63141.97,27826.33
datafast,2021,2,72408,8130438,510034757.40999913,1,2,17660.98,63199.85,27818.05
datafast,2021,3,74389,9298556,605306430.6800014,0,0,17737.47,63928.88,28433.19
datafast,2021,4,74479,8496328,560870487.4900013,2,2,17930.83,64332.16,28241.93
datafast,2021,5,75607,8595387,585125331.4200007,1,1,17934.3,64513.99,28295.87
datafast,2021,6,77070,9702460,622986444.9100003,0,0,17907.24,65050.55,28252.74
datafast,2021,7,77761,10493489,649245805.2300001,0,0,17925.17,65724.75,28472.71
datafast,2021,8,78107,10834016,682818156.2500017,1,1,17956.22,66318.48,28673.3
datafast,2021,9,79092,10653794,655919863.6600013,0,0,17965.89,67114.03,28930.55
datafast,2021,10,80013,11295136,669525396.0899992,1,1,18273.42,67692.77,29161.43
datafast,2021,11,80997,11515242,719690747.9200001,2,2,18128.51,67919.47,29428.06
datafast,2021,12,82508,14229372,875872917.8400009,1,1,18683.97,70075.39,30254.96
datafast,2022,1,79673,10709453,621985511.1699994,0,0,18352.07,69239.45,29590.12
datafast,2022,2,80174,10809496,620814525.1099999,1,1,18439.18,70046.45,29554.67
datafast,2022,3,81048,12121993,709838484.4000001,1,1,18360.04,71033.33,30176.47
datafast,2022,4,80447,12300683,738058765.1099997,1,1,18559.34,70908.39,29664.74
datafast,2022,5,80425,12796023,744220636.8799989,2,2,18436.59,71141.79,29594.13
datafast,2022,6,78846,11481106,653465744.5200006,0,0,18555.11,71391.04,29541.45
datafast,2022,7,80801,12917472,739404873.5899986,0,0,18550.73,71671.62,29414.37
datafast,2022,8,81141,12820323,774730212.6500014,1,1,18588.49,72494.98,29650.81
datafast,2022,9,81104,12596811,744090153.1299999,0,0,18602.56,72737.82,29507.66
datafast,2022,10,81586,13199519,760119263.7800002,1,1,18689.49,72880.73,29442.38
datafast,2022,11,81820,12803563,765231337.7499994,2,2,18957.9,73420.53,29667.63
datafast,2022,12,82266,15925503,932839600.27,1,1,19226.42,75310.32,30190.8
datafast,2023,1,79728,13049325,723152542.2800018,1,1,18900.64,74852.72,29932.29
datafast,2023,2,78772,12204448,659598458.2099996,1,2,18878.35,75331.19,29945.17
datafast,2023,3,80464,13552629,774275650.5199997,0,0,18995.92,76768.81,30788.16
datafast,2023,4,79931,13840902,769308451.6899984,1,1,19160.14,76697.24,29948.66
datafast,2023,5,80748,14267086,782065723.5300006,2,2,19110.34,76539.04,29954.21
datafast,2023,6,80381,13895788,749931053.2000003,0,0,19120.12,76519.02,29696.36
datafast,2023,7,80687,14556421,773156369.5099988,0,0,19149.79,76563.01,29579.5
datafast,2023,8,80832,14209541,783368074.8000009,1,1,19249.5,77661.06,29807.87
datafast,2023,9,80356,13933120,752829971.4900008,0,0,19304.07,77724.47,29606.27
datafast,2023,10,80272,13562713,729041215.0200008,1,1,19332.48,77979.61,29676.94
datafast,2023,11,80069,13767336,774617155.1799994,2,2,19305.94,78387.23,29967.92
datafast,2023,12,80722,17033301,948491839.4700019,1,1,19818.38,80343.61,30488.99
datafast,2024,1,78387,12777849,682271739.6000005,1,1,19496.48,79308.68,29914.05
datafast,2024,2,78714,12978894,682196117.6399995,1,2,19507.7,80099.19,29922.63
datafast,2024,3,79980,14456769,802125757.6800005,1,1,19551.16,80747.7,30055.16
datafast,2024,4,79289,13534137,708421493.4599986,0,0,19659.83,81192.92,29888.51
datafast,2024,5,79560,14326306,749797692.9799985,2,2,19641.13,81633.84,29633.51
datafast,2024,6,79978,14192584,724084969.5300008,0,0,19682.31,82395.4,29738.44
datafast,2024,7,81334,14451037,753602867.8700005,0,0,19647.5,82912.15,29737.02
datafast,2024,8,81429,14887973,773591315.0700002,1,1,19792.52,84163.46,30027.81
datafast,2024,9,80159,13647420,713060139.1600002,0,0,19754.7,84617.5,30079.87
datafast,2024,10,80134,14334476,714872525.4100018,1,1,19866.15,85874.27,30432.59
datafast,2024,11,87802,15315220,775168695.3399998,2,2,19965.19,86665.57,31044.44
datafast,2024,12,86383,18230049,949150718.57,1,1,20302.2,88484.87,31461.76
datafast,2025,1,82881,14926367,729502943.0799997,1,1,19925.58,88682.12,31282.8
datafast,2025,2,82950,14129027,692925385.5500007,0,0,19866.58,89845.34,31354.5
datafast,2025,3,83609,15766883,772614170.2499998,1,2,122366.2,90599.4,31766.8
datafast,2025,4,84115,15521209,767911668.2200006,1,1,123384.0,91724.2,31659.8
datafast,2025,5,85589,16335766,808189332.6899993,2,2,125208.9,93182.1,32026.8
medianet,2019,1,21139,2187556,106537824.60000008,1,1,15501.35,52873.4,24643.71
medianet,2019,2,21110,2113078,106997132.92,0,0,15514.71,53416.42,24901.06
medianet,2019,3,21533,2380785,118482559.9900001,1,2,15616.17,53747.06,24995.89
medianet,2019,4,21736,2320204,118694769.71000002,1,1,15794.43,54011.82,24883.39
medianet,2019,5,21718,2373813,118521412.68000008,2,2,15811.22,54009.15,24695.29
medianet,2019,6,21595,2371144,108641558.01000002,0,0,15845.23,54271.29,24720.54
medianet,2019,7,21589,2392340,112144297.68999997,0,0,15891.79,54680.12,24921.39
medianet,2019,8,21690,2402980,121616322.46000007,1,1,16135.62,55371.99,25033.94
medianet,2019,9,21803,2372118,111292036.85000004,0,0,16047.57,55160.34,24989.0
medianet,2019,10,27578,2317640,120216870.42999998,1,1,16394.3,55772.32,25209.84
medianet,2019,11,29009,2485278,132814148.62999997,2,2,16390.25,56147.25,25363.35
medianet,2019,12,31925,3281976,191108674.33000004,1,1,16966.2,57967.69,26196.71
medianet,2020,1,30489,2683149,152041122.58999985,1,1,16682.28,57594.5,25715.65
medianet,2020,2,30121,2579097,145559301.12000003,1,2,16683.73,58187.41,26136.51
medianet,2020,3,28269,1860682,119232206.71999978,0,0,17135.95,57896.9,26319.28
medianet,2020,4,14261,699450,52523507.97000003,1,1,17848.07,58463.93,26715.36
medianet,2020,5,19657,861275,60983664.84000005,2,2,18152.7,58949.96,27138.48
medianet,2020,6,25703,1464694,94332557.85999988,0,0,18209.89,59394.0,27401.06
medianet,2020,7,26141,1789232,107178158.83999994,0,0,18019.86,59501.88,27144.52
medianet,2020,8,26357,2131806,118561245.45999989,1,1,17943.98,60086.98,27274.79
medianet,2020,9,27451,2352145,127528083.08,0,0,17850.41,60492.98,27283.21
medianet,2020,10,29055,2947689,146760241.52999967,1,1,17528.51,61464.41,27320.85
medianet,2020,11,29185,2965484,153457710.41000003,2,2,17432.26,61319.57,27491.46
medianet,2020,12,29949,3675525,187875150.73999995,1,1,17959.92,63821.32,28409.5
medianet,2021,1,28515,2986743,143630122.74999982,1,1,17679.28,63141.97,27826.33
medianet,2021,2,26549,2824259,134894549.14999995,1,2,17660.98,63199.85,27818.05
medianet,2021,3,26124,3279572,156835844.37999997,0,0,17737.47,63928.88,28433.19
medianet,2021,4,25355,3056383,152235716.2399997,2,2,17930.83,64332.16,28241.93
medianet,2021,5,22156,2267353,106316719.42000003,1,1,17934.3,64513.99,28295.87
medianet,2021,6,22905,2605112,115670747.62999995,0,0,17907.24,65050.55,28252.74
medianet,2021,7,23411,2854952,123320428.02999996,0,0,17925.17,65724.75,28472.71
medianet,2021,8,23964,2854296,127254799.9499999,1,1,17956.22,66318.48,28673.3
medianet,2021,9,26537,2735061,123067419.75000001,0,0,17965.89,67114.03,28930.55
medianet,2021,10,24650,2825301,126261035.12999983,1,1,18273.42,67692.77,29161.43
medianet,2021,11,23458,2797591,128947480.22999981,2,2,18128.51,67919.47,29428.06
medianet,2021,12,23044,3334692,154734645.33000004,1,1,18683.97,70075.39,30254.96
medianet,2022,1,21782,2600940,113312551.3699999,0,0,18352.07,69239.45,29590.12
medianet,2022,2,21225,2507973,113019821.78000003,1,1,18439.18,70046.45,29554.67
medianet,2022,3,21091,2722589,123261109.26000008,1,1,18360.04,71033.33,30176.47
medianet,2022,4,20516,2572712,126184252.20999996,1,1,18559.34,70908.39,29664.74
medianet,2022,5,21009,3982731,172810060.11,2,2,18436.59,71141.79,29594.13
medianet,2022,6,19737,2244754,104507070.86999999,0,0,18555.11,71391.04,29541.45
medianet,2022,7,22029,2930537,127736374.57999998,0,0,18550.73,71671.62,29414.37
medianet,2022,8,22561,2841807,128937579.81000005,1,1,18588.49,72494.98,29650.81
medianet,2022,9,23359,4821856,194812546.48000005,0,0,18602.56,72737.82,29507.66
medianet,2022,10,23769,5123165,201743159.67999998,1,1,18689.49,72880.73,29442.38
medianet,2022,11,21835,4734487,188072145.87000012,2,2,18957.9,73420.53,29667.63
medianet,2022,12,24303,6038795,239476007.84999993,1,1,19226.42,75310.32,30190.8
medianet,2023,1,23766,5127147,189726024.25000003,1,1,18900.64,74852.72,29932.29
medianet,2023,2,23860,4803178,175756121.61999997,1,2,18878.35,75331.19,29945.17
medianet,2023,3,24730,5526982,207701183.76999983,0,0,18995.92,76768.81,30788.16
medianet,2023,4,25227,5877941,222115761.39999983,1,1,19160.14,76697.24,29948.66
medianet,2023,5,25612,5993406,219304007.48999974,2,2,19110.34,76539.04,29954.21
medianet,2023,6,25880,5959537,216526841.98999998,0,0,19120.12,76519.02,29696.36
medianet,2023,7,26361,6267871,229590026.13000003,0,0,19149.79,76563.01,29579.5
medianet,2023,8,26675,6185689,232239587.34000012,1,1,19249.5,77661.06,29807.87
medianet,2023,9,24481,5562056,204612790.5300001,0,0,19304.07,77724.47,29606.27
medianet,2023,10,27672,6155510,219930166.44999984,1,1,19332.48,77979.61,29676.94
medianet,2023,11,28366,6372752,237523067.17,2,2,19305.94,78387.23,29967.92
medianet,2023,12,28795,7330743,244677371.9799999,1,1,19818.38,80343.61,30488.99
medianet,2024,1,27977,5981674,189735072.1199999,1,1,19496.48,79308.68,29914.05
medianet,2024,2,28301,6174213,197522949.9999999,1,2,19507.7,80099.19,29922.63
medianet,2024,3,28518,6311677,201146297.73000002,1,1,19551.16,80747.7,30055.16
medianet,2024,4,29524,6730213,216264220.2999999,0,0,19659.83,81192.92,29888.51
medianet,2024,5,29795,7066002,219881107.4300003,2,2,19641.13,81633.84,29633.51
medianet,2024,6,29742,6938562,210274186.04999992,0,0,19682.31,82395.4,29738.44
medianet,2024,7,29801,7049586,218968441.81,0,0,19647.5,82912.15,29737.02
medianet,2024,8,30144,7062704,212731002.33999994,1,1,19792.52,84163.46,30027.81
medianet,2024,9,30606,6978413,212361996.3700001,0,0,19754.7,84617.5,30079.87
medianet,2024,10,31093,7277552,208950876.2999998,1,1,19866.15,85874.27,30432.59
medianet,2024,11,32311,8753741,317497963.5799999,2,2,19965.19,86665.57,31044.44
medianet,2024,12,32216,10455514,394561342.22999984,1,1,20302.2,88484.87,31461.76
medianet,2025,1,31735,8499028,290930788.8699999,1,1,19925.58,88682.12,31282.8
medianet,2025,2,31802,8055647,279469763.5300003,0,0,19866.58,89845.34,31354.5
medianet,2025,3,35847,10267516,369887908.23999995,1,2,122366.2,90599.4,31766.8
medianet,2025,4,36838,10316239,380970134.9999995,1,1,123384.0,91724.2,31659.8
medianet,2025,5,37674,11052879,394691441.84,2,2,125208.9,93182.1,32026.8
datafast,2015,5,38747,10580001,1127439914.0,,,,,
medianet,2015,5,12340,3715835,239041620.5,,,,,
