entidad,anio,mes,nro_puntos_ventas,nro_consumos,monto_facturado,nro_feriados,nro_dias_feriados,especie_monetaria_circulacion,liquidez_total_m2,oferta_monetaria_m1
medianet,2017,6,12059,813425,51884859.0,0,0,13730.2,47586.69,22824.91
banco del austro,2017,6,5070,240224,12973554.02,0,0,13730.2,47586.69,22824.91
datafast,2017,7,41717,2973773,279971803.2,0,0,13776.09,47499.92,22812.3
medianet,2017,7,10876,908117,56986738.0,0,0,13776.09,47499.92,22812.3
banco del austro,2017,7,4846,281060,14525361.2,0,0,13776.09,47499.92,22812.3
datafast,2017,8,42343,2934264,313159838.5,1,1,13943.51,47775.11,22992.93
medianet,2017,8,10853,886027,55255366.0,1,1,13943.51,47775.11,22992.93
banco del austro,2017,8,4866,277056,14790068.06,1,1,13943.51,47775.11,22992.93
datafast,2017,9,43016,2925681,307899284.8,0,0,13965.81,47658.54,22779.33
medianet,2017,9,10641,855251,54530447.0,0,0,13965.81,47658.54,22779.33
banco del austro,2017,9,4915,264162,14882788.29,0,0,13965.81,47658.54,22779.33
datafast,2017,10,48811,3007058,288659360.4,1,1,14047.74,48166.55,23149.97
medianet,2017,10,10236,928028,55983853.0,1,1,14047.74,48166.55,23149.97
banco del austro,2017,10,4940,282768,15750979.6,1,1,14047.74,48166.55,23149.97
datafast,2017,11,50100,3126334,319177749.6,2,2,14170.54,48835.51,23657.0
medianet,2017,11,10236,959363,61072967.0,2,2,14170.54,48835.51,23657.0
banco del austro,2017,11,4950,278032,15913566.3,2,2,14170.54,48835.51,23657.0
datafast,2017,12,50786,3692989,339632248.9,1,1,14858.68,50790.78,24530.51
medianet,2017,12,10420,995506,63442166.0,1,1,14858.68,50790.78,24530.51
banco del austro,2017,12,4973,309209,17198564.85,1,1,14858.68,50790.78,24530.51
datafast,2018,1,51270,3129919,293408734.8,1,1,14492.2,49914.38,23951.93
medianet,2018,1,10420,898778,58258639.47,1,1,14492.2,49914.38,23951.93
banco del austro,2018,1,4830,264960,25506371.83,1,1,14492.2,49914.38,23951.93
datafast,2018,2,51308,2935797,275437684.8,1,2,14508.14,50338.67,24065.59
medianet,2018,2,10390,859242,55318040.93,1,2,14508.14,50338.67,24065.59
banco del austro,2018,2,4740,253077,14071128.83,1,2,14508.14,50338.67,24065.59
datafast,2018,3,52524,3371396,343603552.4,1,1,14721.22,51152.9,24427.19
medianet,2018,3,10390,956182,64259346.86,1,1,14721.22,51152.9,24427.19
banco del austro,2018,3,4891,272974,16054307.22,1,1,14721.22,51152.9,24427.19
datafast,2018,4,53272,3315400,332091718.9,1,1,14863.0,51100.73,23979.42
medianet,2018,4,10390,798180,55554232.16,1,1,14863.0,51100.73,23979.42
banco del austro,2018,4,4919,253855,14919259.94,1,1,14863.0,51100.73,23979.42
datafast,2018,5,54081,3440234,339393631.0,1,1,14799.45,50897.41,23880.58
medianet,2018,5,10390,1130927,70643856.37,1,1,14799.45,50897.41,23880.58
banco del austro,2018,5,5018,294957,15647629.27,1,1,14799.45,50897.41,23880.58
datafast,2018,6,54518,3411718,323210395.8,0,0,14910.82,51259.86,24057.5
medianet,2018,6,10389,953122,66537566.46,0,0,14910.82,51259.86,24057.5
banco del austro,2018,6,4974,285328,15231415.03,0,0,14910.82,51259.86,24057.5
datafast,2018,7,55345,3510995,329897920.1,0,0,15003.07,51299.67,23983.44
medianet,2018,7,10390,997421,68784451.53,0,0,15003.07,51299.67,23983.44
banco del austro,2018,7,4930,307188,16200522.24,0,0,15003.07,51299.67,23983.44
datafast,2018,8,56866,3648361,381906761.9,1,1,15190.49,51663.34,24297.85
medianet,2018,8,10704,982486,71500115.33,1,1,15190.49,51663.34,24297.85
banco del austro,2018,8,4912,316874,17482300.08,1,1,15190.49,51663.34,24297.85
datafast,2018,9,57996,3510452,354180240.2,0,0,15151.68,51720.47,24092.29
medianet,2018,9,10704,999233,70187061.0,0,0,15151.68,51720.47,24092.29
banco del austro,2018,9,4938,287275,16087407.53,0,0,15151.68,51720.47,24092.29
datafast,2018,10,58907,3547422,342475132.5,1,1,15327.62,51826.37,24261.75
medianet,2018,10,10704,1043709,73702283.0,1,1,15327.62,51826.37,24261.75
banco del austro,2018,10,4935,308933,16984170.39,1,1,15327.62,51826.37,24261.75
datafast,2018,11,60316,3637337,367163202.1,1,1,15346.37,52167.68,24542.6
medianet,2018,11,10704,1094798,79218078.0,1,1,15346.37,52167.68,24542.6
banco del austro,2018,11,5050,316372,17174021.46,1,1,15346.37,52167.68,24542.6
datafast,2018,12,61248,4129320,388211730.2,1,2,15915.87,53664.74,25259.94
medianet,2018,12,10704,1222536,84639333.0,1,2,15915.87,53664.74,25259.94
banco del austro,2018,12,4940,347413,18742887.53,1,2,15915.87,53664.74,25259.94
