año,mes,mes_nombre,entidad_operadora,nro_dispositivos,nro_transacciones,monto,entidad_operadora_normalizada,nro_feriados,nro_dias,especie_monetaria_circulacion,liquidez_total_m2,oferta_monetaria_m1
2020,6,Junio,Datafast,63428,6119025,454884420.35,Datafast,0.0,0.0,18209.89,59394.0,27401.06
2020,7,Julio,Datafast,66142,6944060,494148296.46,Datafast,0.0,0.0,18019.86,59501.88,27144.52
2020,8,Agosto,Datafast,67956,7447859,524551291.66,Datafast,1.0,1.0,17943.98,60086.98,27274.79
2020,9,Septiembre,Datafast,70178,7671485,540951779.04,Datafast,0.0,0.0,17850.41,60492.98,27283.21
2020,10,Octubre,Datafast,72679,8516142,563704189.49,Datafast,1.0,1.0,17528.51,61464.41,27320.85
2020,11,Noviembre,Datafast,73115,8554734,582496578.81,Datafast,2.0,2.0,17432.26,61319.57,27491.46
2020,12,Diciembre,Datafast,74800,10492406,714218238.41,Datafast,1.0,1.0,17959.92,63821.32,28409.5
2020,1,Enero,Medianet,30489,2683149,152041122.59,Medianet,1.0,1.0,16682.28,57594.5,25715.65
2020,2,Febrero,Medianet,30121,2579097,145559301.12,Medianet,1.0,2.0,16683.73,58187.41,26136.51
2020,3,Marzo,Medianet,28269,1860682,119232206.72,Medianet,0.0,0.0,17135.95,57896.9,26319.28
2020,4,Abril,Medianet,14261,699450,52523507.97,Medianet,1.0,1.0,17848.07,58463.93,26715.36
2020,5,Mayo,Medianet,19657,861275,60983664.84,Medianet,2.0,2.0,18152.7,58949.96,27138.48
2020,6,Junio,Medianet,25703,1464694,94332557.86,Medianet,0.0,0.0,18209.89,59394.0,27401.06
2020,7,Julio,Medianet,26141,1789232,107178158.84,Medianet,0.0,0.0,18019.86,59501.88,27144.52
2020,8,Agosto,Medianet,26357,2131806,118561245.46,Medianet,1.0,1.0,17943.98,60086.98,27274.79
2020,9,Septiembre,Medianet,27451,2352145,127528083.08,Medianet,0.0,0.0,17850.41,60492.98,27283.21
2020,10,Octubre,Medianet,29055,2947689,146760241.53,Medianet,1.0,1.0,17528.51,61464.41,27320.85
2020,11,Noviembre,Medianet,29185,2965484,153457710.41,Medianet,2.0,2.0,17432.26,61319.57,27491.46
2020,12,Diciembre,Medianet,29949,3675525,187875150.74,Medianet,1.0,1.0,17959.92,63821.32,28409.5
2020,1,Enero,Banco del Austro,5790,465455,26090102.03,Banco Del Austro,1.0,1.0,16682.28,57594.5,25715.65
2020,2,Febrero,Banco del Austro,5736,422560,22828959.48,Banco Del Austro,1.0,2.0,16683.73,58187.41,26136.51
2020,3,Marzo,Banco del Austro,5484,272006,15390812.79,Banco Del Austro,0.0,0.0,17135.95,57896.9,26319.28
2020,4,Abril,Banco del Austro,2287,71438,5788237.89,Banco Del Austro,1.0,1.0,17848.07,58463.93,26715.36
2020,5,Mayo,Banco del Austro,3373,105191,7915679.79,Banco Del Austro,2.0,2.0,18152.7,58949.96,27138.48
2020,6,Junio,Banco del Austro,4507,206946,12752684.01,Banco Del Austro,0.0,0.0,18209.89,59394.0,27401.06
2020,7,Julio,Banco del Austro,4641,226521,12998940.27,Banco Del Austro,0.0,0.0,18019.86,59501.88,27144.52
2020,8,Agosto,Banco del Austro,4827,256947,14251519.41,Banco Del Austro,1.0,1.0,17943.98,60086.98,27274.79
2020,9,Septiembre,Banco del Austro,5012,286489,15107448.86,Banco Del Austro,0.0,0.0,17850.41,60492.98,27283.21
2020,10,Octubre,Banco del Austro,5211,323966,17494847.35,Banco Del Austro,1.0,1.0,17528.51,61464.41,27320.85
2020,11,Noviembre,Banco del Austro,5301,359326,18679758.64,Banco Del Austro,2.0,2.0,17432.26,61319.57,27491.46
2020,12,Diciembre,Banco del Austro,5434,389147,21095524.73,Banco Del Austro,1.0,1.0,17959.92,63821.32,28409.5
2020,1,Enero,Banco Solidario,211,685,134497.47,Banco Solidario,1.0,1.0,16682.28,57594.5,25715.65
2020,2,Febrero,Banco Solidario,197,608,105522.26,Banco Solidario,1.0,2.0,16683.73,58187.41,26136.51
2020,3,Marzo,Banco Solidario,139,324,60539.21,Banco Solidario,0.0,0.0,17135.95,57896.9,26319.28
2020,4,Abril,Banco Solidario,25,48,19199.32,Banco Solidario,1.0,1.0,17848.07,58463.93,26715.36
2020,5,Mayo,Banco Solidario,3,5,4935.6,Banco Solidario,2.0,2.0,18152.7,58949.96,27138.48
2020,6,Junio,Banco Solidario,101,199,54422.66,Banco Solidario,0.0,0.0,18209.89,59394.0,27401.06
2020,7,Julio,Banco Solidario,111,234,52117.69,Banco Solidario,0.0,0.0,18019.86,59501.88,27144.52
2020,8,Agosto,Banco Solidario,96,178,49821.65,Banco Solidario,1.0,1.0,17943.98,60086.98,27274.79
2020,9,Septiembre,Banco Solidario,96,183,39021.65,Banco Solidario,0.0,0.0,17850.41,60492.98,27283.21
2020,10,Octubre,Banco Solidario,35,54,12358.07,Banco Solidario,1.0,1.0,17528.51,61464.41,27320.85
2020,11,Noviembre,Banco Solidario,16,23,4550.73,Banco Solidario,2.0,2.0,17432.26,61319.57,27491.46
2020,12,Diciembre,Banco Solidario,14,16,2447.55,Banco Solidario,1.0,1.0,17959.92,63821.32,28409.5
2021,1,Enero,Datafast,72827,8536116,545604683.68,Datafast,1.0,1.0,17679.28,63141.97,27826.33
2021,2,Febrero,Datafast,72408,8130438,510034757.41,Datafast,1.0,2.0,17660.98,63199.85,27818.05
2021,3,Marzo,Datafast,74389,9298556,605306430.68,Datafast,0.0,0.0,17737.47,63928.88,28433.19
2021,4,Abril,Datafast,74479,8496328,560870487.49,Datafast,2.0,2.0,17930.83,64332.16,28241.93
2021,5,Mayo,Datafast,75607,8595387,585125331.42,Datafast,1.0,1.0,17934.3,64513.99,28295.87
2021,6,Junio,Datafast,77070,9702460,622986444.91,Datafast,0.0,0.0,17907.24,65050.55,28252.74
2021,7,Julio,Datafast,77761,10493489,649245805.23,Datafast,0.0,0.0,17925.17,65724.75,28472.71
2021,8,Agosto,Datafast,78107,10834016,682818156.25,Datafast,1.0,1.0,17956.22,66318.48,28673.3
2021,9,Septiembre,Datafast,79092,10653794,655919863.66,Datafast,0.0,0.0,17965.89,67114.03,28930.55
2021,10,Octubre,Datafast,80013,11295136,669525396.09,Datafast,1.0,1.0,18273.42,67692.77,29161.43
2021,11,Noviembre,Datafast,80997,11515242,719690747.92,Datafast,2.0,2.0,18128.51,67919.47,29428.06
2021,12,Diciembre,Datafast,82508,14229372,875872917.84,Datafast,1.0,1.0,18683.97,70075.39,30254.96
2021,1,Enero,Medianet,28515,2986743,143630122.75,Medianet,1.0,1.0,17679.28,63141.97,27826.33
2021,2,Febrero,Medianet,26549,2824259,134894549.15,Medianet,1.0,2.0,17660.98,63199.85,27818.05
2021,3,Marzo,Medianet,26124,3279572,156835844.38,Medianet,0.0,0.0,17737.47,63928.88,28433.19
